Nome Do Pregão,Código,Denominação Social,Segmento De Mercado,Tipo De Capital,Capital R$,Aprovado Em,Qtde Ações Ordinárias,Qtde Ações Preferenciais,Qtde Total De Ações,CNPJ,Código CVM,Ticker,Atividade Principal,Setor Econômico,Subsetor Econômico,Segmento Econômico,Site,Url
MAGAZ LUIZA,MGLU,MAGAZINE LUIZA S.A.,NOVO MERCADO,Homologado,12552162483.75,26/08/2021,6748926848,0,6748926848,47.960.950/0001-21,22470,MGLU3.SA,Somos uma plataforma de varejo multicanal.,Consumo Cíclico,Comércio,Eletrodomésticos,www.magazineluiza.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/22470/MGLU/overview?language=pt-br
METAL LEVE,LEVE,MAHLE-METAL LEVE S.A.,NOVO MERCADO,Homologado,966254684.0,10/04/2012,128308500,0,128308500,60.476.884/0001-87,8575,LEVE3.SA,Industria e comércio de peças e componentes para motores a combustão,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas,www.mahle.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/8575/LEVE/overview?language=pt-br
LOJAS MARISA,AMAR,MARISA LOJAS S.A.,NOVO MERCADO,Homologado,1721959463.42,03/12/2021,342835570,0,342835570,61.189.288/0001-89,22055,AMAR3.SA,Comércio varejista de artigos do vestuário e acessórios. prestação de serviços de correspondente bancário. intermediação de negócios e congêneres. atuação como representante de seguros.,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,www.marisa.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/22055/AMAR/overview?language=pt-br
MOVIDA,MOVI,MOVIDA PARTICIPACOES SA,NOVO MERCADO,Homologado,2630122185.6,31/12/2021,362302086,0,362302086,21.314.559/0001-66,23825,MOVI3.SA,Aluguel de carros e gestão de frotas,Consumo Cíclico,Diversos,Aluguel de carros,www.ri.movida.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/23825/MOVI/overview?language=pt-br
MRV,MRVE,MRV ENGENHARIA E PARTICIPACOES S.A.,NOVO MERCADO,Homologado,4974770151.06,07/01/2022,483232789,0,483232789,08.343.492/0001-20,20915,MRVE3.SA,Atividades de Incorporação e Construção,Consumo Cíclico,Construção Civil,Incorporações,www.mrv.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20915/MRVE/overview?language=pt-br
PDG REALT,PDGR,PDG REALTY S.A. EMPREEND E PARTICIPACOES,NOVO MERCADO,Homologado,5346127772.05,08/06/2021,56133457,0,56133457,02.950.811/0001-89,20478,PDGR3.SA,Construção e incorporação.,Consumo Cíclico,Construção Civil,Incorporações,www.pdg.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20478/PDGR/overview?language=pt-br
LE LIS BLANC,LLIS,RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS S.A.,NOVO MERCADO,Homologado,624757925.0,15/01/2021,68850829,0,68850829,49.669.856/0001-43,21440,LLIS3.SA,(a) confecção de produtos em geral. através de terceiros; (b) importação e exportação; (c) exploração de comércio e indústria de confecção de produtos em geral.,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,www.lelis.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/21440/LLIS/overview?language=pt-br
RNI,RDNI,RNI NEGÓCIOS IMOBILIÁRIOS S.A.,NOVO MERCADO,Homologado,512438000.0,10/11/2015,43769808,0,43769808,67.010.660/0001-24,20451,RDNI3.SA,(i) a compra e venda de imóveis; (ii) o desmembramento ou loteamento de terrenos; (iii) a incorporação imobiliária ou construção de imóveis destinados à venda; (iv) a prestação de serviços a terceiros,Consumo Cíclico,Construção Civil,Incorporações,http://rni.com.br/,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20451/RDNI/overview?language=pt-br
ROSSI RESID,RSID,ROSSI RESIDENCIAL S.A.,NOVO MERCADO,Homologado,2678339520.0,22/02/2022,20000000,0,20000000,61.065.751/0001-80,16306,RSID3.SA,Compra e venda de imóveis. desmembramento e loteamento de terrenos. incorporação imobiliária. construção de imóveis destinados à venda. e a participação em outras sociedades.,Consumo Cíclico,Construção Civil,Incorporações,www.rossiresidencial.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/16306/RSID/overview?language=pt-br
SER EDUCA,SEER,SER EDUCACIONAL S.A.,NOVO MERCADO,Homologado,991644172.8,09/05/2019,128721560,0,128721560,04.986.320/0001-13,23221,SEER3.SA,Desenvolvimento e a administração de atividades e instituições no setor de educação e outras áreas associadas; administração de bens e negócios próprios; e participação em outras sociedades.,Consumo Cíclico,Diversos,Serviços Educacionais,www.sereducacional.com/ri,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/23221/SEER/overview?language=pt-br
SPRINGS,SGPS,SPRINGS GLOBAL PARTICIPACOES S.A.,NOVO MERCADO,Homologado,1860263807.68,21/10/2015,50000000,0,50000000,07.718.269/0001-57,20966,SGPS3.SA,,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos,www.springs.com,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20966/SGPS/overview?language=pt-br
TIME FOR FUN,SHOW,T4F ENTRETENIMENTO S.A.,NOVO MERCADO,Homologado,243022170.4,10/08/2020,67412629,0,67412629,02.860.694/0001-62,22454,SHOW3.SA,Atuação no setor de entretenimento ao vivo. através da operação de casas de espetáculos e de bilheterias. da comercialização de alimentos. bebidas e produtos promocionais e da negociação de patrocínio,Consumo Cíclico,Viagens e Lazer,Produção de Eventos e Shows,www.t4f.com.br/ri,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/22454/SHOW/overview?language=pt-br
TECHNOS,TECN,TECHNOS S.A.,NOVO MERCADO,Homologado,130586573.49,09/05/2022,76506215,0,76506215,09.295.063/0001-97,22519,TECN3.SA,A Companhia tem por objeto social a participação em outras sociedades. como sócia ou acionista. no país ou no exterior.,Consumo Cíclico,Tecidos. Vestuário e Calçados,Acessórios,www.grupotechnos.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/22519/TECN/overview?language=pt-br
TRISUL,TRIS,TRISUL S.A.,NOVO MERCADO,Homologado,866080000.0,12/09/2019,186617538,0,186617538,08.811.643/0001-27,21130,TRIS3.SA,Incorporadora e Construtora,Consumo Cíclico,Construção Civil,Incorporações,www.trisul-sa.com.br/ri,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/21130/TRIS/overview?language=pt-br
UNICASA,UCAS,UNICASA INDÚSTRIA DE MÓVEIS S.A.,NOVO MERCADO,Homologado,147000000.0,03/12/2019,66086364,0,66086364,90.441.460/0001-48,22780,UCAS3.SA,Indústria. comércio. prestação de serviços. importação e exportação de produtos relacionados ao ramo de mobiliário em geral. planejado e modulado de madeira. ferro. aço. alumínio e outros materiais.,Consumo Cíclico,Utilidades Domésticas,Móveis,http://www.unicasamoveis.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/22780/UCAS/overview?language=pt-br
VIA,VIIA,VIA S.A,NOVO MERCADO,Homologado,5138166692.55,10/11/2021,1598425856,0,1598425856,33.041.260/0652-90,6505,VIIA3.SA,,Consumo Cíclico,Comércio,Eletrodomésticos,www.viavarejo.com.br/ri,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/6505/VIIA/overview?language=pt-br
VIVER,VIVR,VIVER INCORPORADORA E CONSTRUTORA S.A.,NOVO MERCADO,Homologado,2449892044.74,10/09/2021,142902713,0,142902713,67.571.414/0001-41,20702,VIVR3.SA,Construção. incorporação. aquisição de créditos com lastro em ativos imobiliários. obras paradas. vendas. repasse. cobrança. assistência técnica. negociação de dívidas e processos judiciais.,Consumo Cíclico,Construção Civil,Incorporações,http://www.viver.com.vc,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20702/VIVR/overview?language=pt-br
VULCABRAS,VULC,VULCABRAS S.A.,NOVO MERCADO,Homologado,1140910332.5,08/09/2021,245756244,0,245756244,50.926.955/0001-42,11762,VULC3.SA,Representantes comerciais e agentes do comércio de têxteis. vestuário. calçados e artigos de viagem.,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados,www.vulcabrasazaleiari.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/11762/VULC/overview?language=pt-br
YDUQS PART,YDUQ,YDUQS PARTICIPACOES S.A.,NOVO MERCADO,Homologado,1139887263.22,13/06/2018,309088851,0,309088851,08.807.432/0001-10,21016,YDUQ3.SA,Desenvolve principalmente nas áreas de educação de nível superior. nas modalidades presencial e a distância. educação profissional e/ou outras áreas associadas à educação.,Consumo Cíclico,Diversos,Serviços Educacionais,www.estacioparticipacoes.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/21016/YDUQ/overview?language=pt-br
BK BRASIL,BKBR,ZAMP S.A.,NOVO MERCADO,Homologado,1461068417.41,18/11/2020,275355447,0,275355447,13.574.594/0001-96,24317,BKBR3.SA,Prestação de serviços de operação e assessoria a restaurantes,Consumo Cíclico,Hoteis e Restaurantes,Restaurante e Similares,www.burgerking.com.br/ri,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/24317/BKBR/overview?language=pt-br
CARREFOUR BR,CRFB,ATACADÃO S.A.,NOVO MERCADO,Homologado,7660725261.16,25/04/2022,1986224550,0,1986224550,75.315.333/0001-09,24171,CRFB3.SA,Comércio varejista e atacadista de mercadorias em geral; Carga e descarga; Correspondentes de instituições financeiras; Atividades de teleatendimento; Serviços de Alimentação entre outros,Consumo não Cíclico,Comércio e Distribuição,Alimentos,www.grupocarrefourbrasil.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/24171/CRFB/overview?language=pt-br
BRASILAGRO,AGRO,BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,NOVO MERCADO,Homologado,1587984600.71,17/05/2021,102377008,0,102377008,07.628.528/0001-59,20036,AGRO3.SA,EMPRESA DE DESENVOLVIMENTO AGROPECUARIO,Consumo não Cíclico,Agropecuária,Agricultura,www.brasil-agro.com,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20036/AGRO/overview?language=pt-br
BRF SA,BRFS,BRF S.A.,NOVO MERCADO,Homologado,13053417953.36,01/02/2022,1082473246,0,1082473246,01.838.723/0001-27,16292,BRFS3.SA,Holding Operacional,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,www.brf-br.com,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/16292/BRFS/overview?language=pt-br
CAMIL,CAML,CAMIL ALIMENTOS S.A.,NOVO MERCADO,Homologado,950373789.63,13/04/2022,360000000,0,360000000,64.904.295/0001-03,24228,CAML3.SA,Industrialização e comercialização de arroz. feijão. pescados. açúcar. massas e café.,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,www.camilalimentos.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/24228/CAML/overview?language=pt-br
P.ACUCAR-CBD,PCAR,CIA BRASILEIRA DE DISTRIBUICAO,NOVO MERCADO,Homologado,5859639790.63,29/04/2022,269455303,0,269455303,47.508.411/0001-56,14826,PCAR3.SA,Comércio Varejista,Consumo não Cíclico,Comércio e Distribuição,Alimentos,www.gpari.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/14826/PCAR/overview?language=pt-br
JBS,JBSS,JBS S.A.,NOVO MERCADO,Homologado,23631071304.24,11/05/2022,2218116370,0,2218116370,02.916.265/0001-60,20575,JBSS3.SA,,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,www.jbs.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20575/JBSS/overview?language=pt-br
M.DIASBRANCO,MDIA,M.DIAS BRANCO S.A. IND COM DE ALIMENTOS,NOVO MERCADO,Homologado,2597656478.44,26/03/2021,339000000,0,339000000,07.206.816/0001-15,20338,MDIA3.SA,PRODUÇÃO E COMERCIALIZAÇÃO DE BISCOITOS. MASSAS. FARINHA DE TRIGO E FARELO. MARGARINAS E GORDURAS. BOLOS. SNACKS. MISTURA PARA BOLOS E TORRADAS.,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,www.mdiasbranco.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20338/MDIA/overview?language=pt-br
MARFRIG,MRFG,MARFRIG GLOBAL FOODS S.A.,NOVO MERCADO,Homologado,8328577961.0,10/08/2021,691369913,0,691369913,03.853.896/0001-40,20788,MRFG3.SA,Produção e distribuição de alimentos à base de carne bovina. suína. ovina e avícola. in natura. elaborados e processados. couros semi-terminados e terminados. além de outros produtos alimentícios.,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,www.marfrig.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20788/MRFG/overview?language=pt-br
MINERVA,BEEF,MINERVA S.A.,NOVO MERCADO,Homologado,1678785544.94,12/01/2022,607283407,0,607283407,67.620.377/0001-14,20931,BEEF3.SA,Líder na América do Sul na exportação de carne bovina in natura e seus derivados. e que atua também no segmento de processados.,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,www.minervafoods.com/ri,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20931/BEEF/overview?language=pt-br
POMIFRUTAS,FRTA,POMIFRUTAS S/A,NOVO MERCADO,Homologado,143080704.05,06/07/2021,2053606,0,2053606,86.550.951/0001-50,19658,FRTA3.SA,POMICULTURA PRODUÇÃO. COMERCIALIZAÇÃO E EXPORTAÇÃO,Consumo não Cíclico,Agropecuária,Agricultura,www.pomifrutas.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/19658/FRTA/overview?language=pt-br
SAO MARTINHO,SMTO,SAO MARTINHO S.A.,NOVO MERCADO,Homologado,2681570983.27,30/07/2021,354011329,0,354011329,51.466.860/0001-56,20516,SMTO3.SA,Fabricação e comércio de açúcar. álcool e derivados.,Consumo não Cíclico,Alimentos Processados,Açucar e Alcool,www.saomartinho.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20516/SMTO/overview?language=pt-br
SLC AGRICOLA,SLCE,SLC AGRICOLA S.A.,NOVO MERCADO,Homologado,1512521509.85,30/12/2021,212422599,0,212422599,89.096.457/0001-55,20745,SLCE3.SA,Produção e comercialização de algodão. soja. milho. entre outros.,Consumo não Cíclico,Agropecuária,Agricultura,www.slcagricola.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20745/SLCE/overview?language=pt-br
ALIANSCSONAE,ALSO,ALIANSCE SONAE SHOPPING CENTERS S.A.,NOVO MERCADO,Homologado,4190769244.0,05/12/2019,265772778,0,265772778,05.878.397/0001-32,22357,ALSO3.SA,Planejamento. desenvolvimento. implantação e investimentos na área imobiliária. nomeadamente em Shopping Centers e a participação em outras sociedades e/ou em fundos de investimento imobiliário.,Financeiro,Exploração de Imóveis,Exploração de Imóveis,www.alianscesonae.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/22357/ALSO/overview?language=pt-br
ALPER S.A.,APER,ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.,NOVO MERCADO,Homologado,294898862.31,07/04/2021,15232292,0,15232292,11.721.921/0001-60,22217,APER3.SA,A Companhia tem por objeto social a corretagem e administração de seguros de todos os ramos. participação no capital social de outras sociedades e prestação de serviços de consultoria empresarial.,Financeiro,Previdência e Seguros,Corretoras de Seguros e Resseguros,http://brin3.com.br/,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/22217/APER/overview?language=pt-br
B3,B3SA,"B3 S.A. - BRASIL, BOLSA, BALCÃO",NOVO MERCADO,Homologado,12548655563.88,17/03/2022,6099000000,0,6099000000,09.346.601/0001-25,21610,B3SA3.SA,Principais atividades: administrar mercados organizados de títulos e valores mobiliários; prestar serviços de registro. compensação e liquidação e de suporte à operações de financiamento,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos,www.b3.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/21610/B3SA/overview?language=pt-br
BBSEGURIDADE,BBSE,BB SEGURIDADE PARTICIPAÇÕES S.A.,NOVO MERCADO,Homologado,6269692280.18,29/04/2022,2000000000,0,2000000000,17.344.597/0001-94,23159,BBSE3.SA,Participação no capital social de outras sociedades. que tenham por atividade operações de seguros. resseguros. previdências complementar ou capitalização.,Financeiro,Previdência e Seguros,Seguradoras,www.bbseguridaderi.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/23159/BBSE/overview?language=pt-br
BR MALLS PAR,BRML,BR MALLS PARTICIPACOES S.A.,NOVO MERCADO,Homologado,10406862080.33,04/02/2022,828273884,0,828273884,06.977.745/0001-91,19909,BRML3.SA,Holding,Financeiro,Exploração de Imóveis,Exploração de Imóveis,www.brmalls.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/19909/BRML/overview?language=pt-br
BR PROPERT,BRPR,BR PROPERTIES S.A.,NOVO MERCADO,Homologado,4369144124.79,23/08/2021,474159697,0,474159697,06.977.751/0001-49,19925,BRPR3.SA,Compra. venda e incorp. de imóveis comerciais prontos ou a construir; admin de imóveis próprios ou de terceiros; arrendamento. exploração com. locação sub-locação de imóveis comerciais própr. e outros,Financeiro,Exploração de Imóveis,Exploração de Imóveis,www.brpr.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/19925/BRPR/overview?language=pt-br
CIELO,CIEL,CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO,NOVO MERCADO,Homologado,5700000000.0,20/04/2018,2716815061,0,2716815061,01.027.058/0001-91,21733,CIEL3.SA,Empresa prestadora de serviços de adquirência e meios de pagamento.,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos,www.cielo.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/21733/CIEL/overview?language=pt-br
CSU CARDSYST,CARD,CSU CARDSYSTEM S.A.,NOVO MERCADO,Homologado,169231849.61,12/06/2020,41800000,0,41800000,01.896.779/0001-38,20044,CARD3.SA,Terceirização em administração e processamento de meios eletrônicos de pagamento. gestão em terceirização de contact center. desenvolvimento e gestão operacional de programas de fidelidade e incentivo,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos,www.csu.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20044/CARD/overview?language=pt-br
IRBBRASIL RE,IRBR,IRB - BRASIL RESSEGUROS S.A.,NOVO MERCADO,Homologado,4253080000.0,31/08/2020,1267890331,1,1267890332,33.376.989/0001-91,24180,IRBR3.SA,Operações de resseguro e retrocessão,Financeiro,Previdência e Seguros,Resseguradoras,ri.irbbrasilre.com,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/24180/IRBR/overview?language=pt-br
LOPES BRASIL,LPSB,LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.,NOVO MERCADO,Homologado,169187891.38,21/05/2021,147554631,0,147554631,08.078.847/0001-09,20370,LPSB3.SA,Intermediação na compra. venda. permuta e locação de imóveis ou de direitos e obrigações a eles relativos.,Financeiro,Exploração de Imóveis,Intermediação Imobiliária,www.lopes.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20370/LPSB/overview?language=pt-br
NEXPE,NEXP,NEXPE PARTICIPAÇÕES S.A,NOVO MERCADO,Homologado,828684951.8,27/01/2022,132778474,0,132778474,08.613.550/0001-98,21180,NEXP3.SA,Participação em outras sociedades que atuem no setor imobiliário.,Financeiro,Exploração de Imóveis,Intermediação Imobiliária,www.brbrokers.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/21180/NEXP/overview?language=pt-br
PORTO SEGURO,PSSA,PORTO SEGURO S.A.,NOVO MERCADO,Homologado,8500000000.0,20/10/2021,646586060,0,646586060,02.149.205/0001-69,16659,PSSA3.SA,Gestão de Participações Societárias (holding),Financeiro,Previdência e Seguros,Seguradoras,www.portoseguro.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/16659/PSSA/overview?language=pt-br
SAO CARLOS,SCAR,SAO CARLOS EMPREEND E PARTICIPACOES S.A.,NOVO MERCADO,Homologado,1073911676.48,28/04/2017,57737319,0,57737319,29.780.061/0001-09,13781,SCAR3.SA,Compra e venda de imóveis prontos ou a construir; locação de bens imóveis; administração de empreendimentos imobiliários próprios ou de terceiros; exercício de outras atividades correlatas; e outros,Financeiro,Exploração de Imóveis,Exploração de Imóveis,www.scsa.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/13781/SCAR/overview?language=pt-br
SYN PROP TEC,SYNE,SYN PROP E TECH S.A.,NOVO MERCADO,Homologado,1663313371.47,11/11/2020,152644445,0,152644445,08.801.621/0001-86,21040,SYNE3.SA,Incorporação de empreendimentos imobiliários,Financeiro,Exploração de Imóveis,Exploração de Imóveis,www.ccpsa.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/21040/SYNE/overview?language=pt-br
WIZ S.A.,WIZS,WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.,NOVO MERCADO,Homologado,40000000.0,10/12/2014,159907282,0,159907282,42.278.473/0001-03,23590,WIZS3.SA,Corretagem de seguros de todos os ramos. assessoria e consultoria na área de seguros em geral. intermediação e desenvolvimento de soluções em negócios. sem especificação definida. dentre outros.,Financeiro,Previdência e Seguros,Corretoras de Seguros e Resseguros,www.wizsolucoes.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/23590/WIZS/overview?language=pt-br
DEXCO,DXCO,DEXCO S.A.,NOVO MERCADO,Homologado,2370188626.8,09/12/2021,760962951,0,760962951,97.837.181/0001-47,21091,DXCO3.SA,Fabricação. Comércio. Importação e Exportação de Produtos derivados de Madeira. de Produtos de Metais e Materiais Cerâmicos,Materiais Básicos,Madeira e Papel,Madeira,www.dex.co,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/21091/DXCO/overview?language=pt-br
FER HERINGER,FHER,FERTILIZANTES HERINGER S.A.,NOVO MERCADO,Homologado,594164902.56,27/01/2015,53857284,0,53857284,22.266.175/0001-88,20621,FHER3.SA,Produção. comercialização e distribuição de fertilizantes. com atuação nacional.,Materiais Básicos,Químicos,Fertilizantes e Defensivos,www.heringer.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20621/FHER/overview?language=pt-br
IRANI,RANI,IRANI PAPEL E EMBALAGEM S.A.,NOVO MERCADO,Homologado,566894847.81,11/12/2020,256720235,0,256720235,92.791.243/0001-03,2429,RANI3.SA,Fabricação de papel para embalagem. embalagens de papelão ondulado e resinas.,Materiais Básicos,Embalagens,Embalagens,www.irani.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/2429/RANI/overview?language=pt-br
MMX MINER,MMXM,MMX MINERACAO E METALICOS S.A.,NOVO MERCADO,Homologado,30000000.0,13/12/2018,6488183,0,6488183,02.762.115/0001-49,17914,MMXM3.SA,Mineração de Minério de Ferro,Materiais Básicos,Mineração,Minerais Metálicos,www.mmx.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/17914/MMXM/overview?language=pt-br
PARANAPANEMA,PMAM,PARANAPANEMA S.A.,NOVO MERCADO,Homologado,2069566247.56,04/09/2019,43403849,0,43403849,60.398.369/0004-79,9393,PMAM3.SA,Metalurgia do cobre e suas ligas,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Cobre,www.paranapanema.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/9393/PMAM/overview?language=pt-br
SUZANO S.A.,SUZB,SUZANO S.A.,NOVO MERCADO,Homologado,9269281424.63,10/01/2019,1361263584,0,1361263584,16.404.287/0001-55,13986,SUZB3.SA,Indústria e Comércio de Papel e Celulose,Materiais Básicos,Madeira e Papel,Papel e Celulose,www.suzano.com.br/ri,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/13986/SUZB/overview?language=pt-br
VALE,VALE,VALE S.A.,NOVO MERCADO,Homologado,77300000000.0,24/02/2022,4999040051,12,4999040063,33.592.510/0001-54,4170,VALE3.SA,Mineração,Materiais Básicos,Mineração,Minerais Metálicos,,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/4170/VALE/overview?language=pt-br
COSAN,CSAN,COSAN S.A.,NOVO MERCADO,Homologado,8402543550.97,29/04/2022,1874070932,0,1874070932,50.746.577/0001-15,19836,CSAN3.SA,Produção de Açúcar. Etanol e Cogeração de Energia. Distribuição de Combustíveis.Produção e Distribuição de Lubrificantes.Tranporte e Carregamento de Açúcar. Operador de Terras e Distribuição de Gás.,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,www.cosan.com.br/ri,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/19836/CSAN/overview?language=pt-br
ENAUTA PART,ENAT,ENAUTA PARTICIPAÇÕES S.A.,NOVO MERCADO,Homologado,2135496103.82,02/03/2011,265806905,0,265806905,11.669.021/0001-10,22365,ENAT3.SA,Participação em sociedades que se dediquem à exploração. produção e comercialização de petróleo. gás natural e seus derivados. seja como sócio ou acionista ou outras formas de associações.,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,www.qgep.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/22365/ENAT/overview?language=pt-br
LUPATECH,LUPA,LUPATECH S.A.,NOVO MERCADO,Homologado,1897431479.42,31/03/2022,29211160,0,29211160,89.463.822/0001-12,20060,LUPA3.SA,Fabricante de equipamentos e provedor de serviços para o setor de Petróleo e Gás.,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Equipamentos e Serviços,www.lupatech.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20060/LUPA/overview?language=pt-br
OSX BRASIL,OSXB,OSX BRASIL S.A.,NOVO MERCADO,Homologado,35263600.0,27/11/2018,3148038,0,3148038,09.112.685/0001-32,21342,OSXB3.SA,Equipamentos e Serviços para a indústria offshore de petróleo e gás natural.,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Equipamentos e Serviços,www.osx.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/21342/OSXB/overview?language=pt-br
PETRORIO,PRIO,PETRO RIO S.A.,NOVO MERCADO,Homologado,5543047869.79,03/01/2022,882646385,0,882646385,10.629.105/0001-68,22187,PRIO3.SA,A Companhia tem por objeto a participação em outras sociedades como sócia. acionista ou quotista. no país ou no exterior. desde que visando à consecução de atividades relacionadas à energia.,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,www.petroriosa.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/22187/PRIO/overview?language=pt-br
ULTRAPAR,UGPA,ULTRAPAR PARTICIPACOES S.A.,NOVO MERCADO,Homologado,5171751608.08,23/02/2022,1115151608,0,1115151608,33.256.439/0001-39,18465,UGPA3.SA,Atuação em energia e infraestrutura por meio da Ipiranga. Ultragaz e Ultracargo. especialidades químicas através da Oxiteno e varejo farmacêutico com a Extrafarma.,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,www.ultra.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/18465/UGPA/overview?language=pt-br
