,ROA,ROE
mean,0.022806145959910686,0.04096005214482314
std,0.007219391220614022,0.014443229936840447
min,0.008804793245184735,0.01354928285926486
25%,0.01778279375414704,0.02944444244825402
50%,0.02248218145927755,0.04123875872539959
75%,0.028541518396549385,0.04771450990271918
max,0.03730574125325439,0.08013445554171417
