Rentabilidade,Teste,Estatística,Valor p
ROA,Teste t,-2.2037240296730123,0.044786503754553196
ROA,Teste H,3.1875,0.07420341132975534
ROE,Teste t,-2.1024104805585977,0.054091345932373025
ROE,Teste H,5.834558823529413,0.0157143497722189
