,RCT/CP,RCT/PT
mean,1.1551621178876685,0.5057393867133035
std,0.25291544407818833,0.06617097356902335
min,0.7265780430383513,0.37048925284546874
25%,1.0669696791646366,0.49172870300585536
50%,1.113848407936842,0.5065081929862412
75%,1.270501697031083,0.5421818241147167
max,1.608693408270591,0.5988659839709793
