DT_REFER,RCT/CP,RCT/PT
2017Q1,2.3371556829663374,0.5364780221302129
2017Q2,3.267718100596898,0.5382383382079552
2017Q3,1.7286783206648797,0.5264098788167766
2017Q4,1.5380060695320226,0.5426599932452483
2018Q1,1.5001307233535324,0.5306998198356897
2018Q2,1.555552884480527,0.5597968777410214
2018Q3,1.519919473609248,0.5363463796362111
2018Q4,1.484721922962226,0.5443022988800845
2019Q1,2.3120870619697937,0.6716226246938631
2019Q2,2.2267047879412627,0.6660993991696368
2019Q3,2.1922587772544753,0.6628345508897086
2019Q4,1.9492840370821953,0.6421079287657002
2020Q1,2.178246402847247,0.6581668309724483
2020Q2,2.4742026238849992,0.671465899963956
2020Q3,2.8167856260306907,0.682321790167866
2020Q4,1.890090508738612,0.6354234938782405
2021Q1,1.9911158843648846,0.6277372275949288
2021Q2,2.047885714896816,0.644264828210147
2021Q3,2.023316768560317,0.6427701581170346
2021Q4,1.9317303288567775,0.6263724008830961
