,Corrente,Seca,Imediata,Geral
mean,1.0766378949974225,1.0387808188421936,0.47377006880595895,0.6756027941640435
std,0.03523372551614658,0.037660383315407706,0.030580549575944048,0.015178108820196353
min,0.9900950587237516,0.9503723834925659,0.4020087841167885,0.6362857175580767
25%,1.053380538033545,1.0130172240944169,0.4514615228495141,0.6630624609844418
50%,1.0711661750293406,1.0427988444425402,0.47508029312641004,0.6753438318960774
75%,1.096883936183341,1.0629961010695883,0.49261461525023054,0.6858899840578543
max,1.157187850898044,1.1201776600432138,0.5362262118245473,0.7092901238884419
