,Corrente,Seca,Imediata,Geral
mean,1.4832932877437273,1.06829276544564,0.4464776885707788,0.9419991220089747
std,0.02782684985097761,0.029135205477262966,0.020840478561841996,0.01948884324480591
min,1.3918495580909402,0.9990115437662359,0.4006685221612548,0.9085503395874523
25%,1.462070663151187,1.0478584877198711,0.4309081225638116,0.9328647428262078
50%,1.4843886966911342,1.0623457853261211,0.4447174840284816,0.9417970379369439
75%,1.5015594136710373,1.092137985929553,0.45865430704524046,0.9541000107815676
max,1.5337147412446557,1.1286725127972133,0.4935440802608766,1.0150418469533817
