,Corrente,Seca,Imediata,Geral
mean,1.7683930603213112,1.7776686790062979,1.2756954751465226,0.9087441027416119
std,0.13285555055525178,0.12604624683178678,0.08113979828627939,0.029733822114899295
min,1.4938154087690854,1.4882109326557527,1.1009132752626891,0.8655967907569184
25%,1.6796246882004746,1.6903491072730479,1.2206521391299816,0.8892958809515698
50%,1.7318731465386994,1.7439378541723942,1.2412702188525804,0.9042578258288905
75%,1.77539077763561,1.8620651707928504,1.335967643288147,0.9216682083455022
max,2.167088621577151,2.1536890377433724,1.5436706534892972,1.0136000297069692
