DT_REFER,ROA,ROE
2017Q1,,
2017Q2,0.04636434492131189,0.05015849420434084
2017Q3,0.06410559964224806,0.07032979997013454
2017Q4,0.07364171138532706,0.0899336365499501
2018Q1,0.024252110709478556,0.03066777350233427
2018Q2,0.043831153769036464,0.054887807037845536
2018Q3,0.06332120279381372,0.08164473124902367
2018Q4,0.0648077667820011,0.0959217671370891
2019Q1,0.018524810270788714,0.02655542810625186
2019Q2,0.03227284644759596,0.04902443596242833
2019Q3,0.04794935924510266,0.0784058642867219
2019Q4,0.049138864396279895,0.0907441668386119
2020Q1,0.0011939605405905417,0.0008682225617706974
2020Q2,0.0015749702330995373,-0.008687161179440043
2020Q3,0.015344308216722847,0.018053529820740415
2020Q4,0.02307468323339437,0.03856849117847162
2021Q1,0.007348246135777498,0.01676792162799657
2021Q2,0.011307625729226337,0.02725372847474209
2021Q3,0.027420195262070512,0.05193972173336126
2021Q4,0.02950069262938457,0.056004515081474526
