,Corrente,Seca,Imediata,Geral
mean,1.6264435541971907,1.3495855903067586,0.665169622821885,0.9653813700393367
std,0.07919853971274922,0.07652083268866423,0.05967476408501004,0.027235185235472664
min,1.3623122629018973,1.075507115951915,0.5106784136748802,0.8822493925714928
25%,1.5708246741320178,1.2958151045146156,0.6234659380491362,0.9470294265570647
50%,1.628202089419287,1.3499117346940688,0.6631043764987332,0.967402210331376
75%,1.6809428410898586,1.3996277179336551,0.7015032207374055,0.9844354308945649
max,1.8648378072262175,1.5830311464342772,0.9133606613449189,1.0361297799031801
