,ROA,ROE
mean,0.05823783088512446,0.09600511163422185
std,0.03369704938071355,0.05527014729498975
min,0.018551134884708158,0.0318372908076615
25%,0.03474488994490539,0.059389402348879176
50%,0.05173161706940456,0.08665977902166688
75%,0.08475896464158861,0.13311268975986046
max,0.1120719685833879,0.18872394829996686
