DT_REFER,Corrente,Seca,Imediata,Geral
2017Q1,1.5526701805215848,1.2888957341183174,0.8525397041500405,0.9238295080384327
2017Q2,1.4399485147621,1.1882551961164953,0.7563640103704172,0.8870280486366335
2017Q3,1.4007077104223606,1.143514291426503,0.7153033134359988,0.8802928998578896
2017Q4,1.5208436138986239,1.2929853838865126,0.6075792137913502,0.9022511865426127
2018Q1,1.741079082117112,1.4860743139896606,0.7826660668868528,0.9432033234889209
2018Q2,1.5207513652081723,1.2621632065126762,0.54743543903355,0.8784643038645346
2018Q3,1.512399657080917,1.257426574653268,0.552109975135025,0.87195809134523
2018Q4,1.5473137521534874,1.2937802076920313,0.487298187322549,0.8741872792649166
2019Q1,1.4249802048983415,1.2383017074321387,0.489259741365903,0.8688782598459303
2019Q2,1.454081542445132,1.2452672048727769,0.5494953208177279,0.9257068603825588
2019Q3,1.4176509923720706,1.2048444271788117,0.5500096142889286,0.9505217551837439
2019Q4,1.5759258121919035,1.3719426867637443,0.6701515987073928,0.9976471070245456
2020Q1,1.4775691255752867,1.264374395768801,0.7061688203035836,0.979235270137962
2020Q2,1.6558470774417229,1.3341970419004414,0.8836515108002414,1.0237705262058565
2020Q3,2.1504929902176895,1.8299739994161062,1.2776925084253128,1.1613904637991876
2020Q4,2.039583233941925,1.7551924892082293,1.2043845676041622,1.144947534793554
2021Q1,1.847122789482604,1.5446033086690918,0.9369082274677656,1.1041665893748807
2021Q2,1.8939228337306704,1.6087789855513173,0.9981652497039324,1.1134034408471258
2021Q3,2.181148240568015,1.87972080573996,1.2891603618582634,1.1543923703736172
2021Q4,2.021790835161636,1.7268452451393985,1.1622875572171412,1.1113111117561554
