Endividamento,Teste,Estatística,Valor p
RCT/CP,Teste t,-4.363323044912635,6.587870437808473e-05
RCT/CP,Teste H,19.46765724298927,1.0231757344949158e-05
RCT/PT,Teste t,-16.756177534984175,6.33475763088759e-22
RCT/PT,Teste H,72.96106145620168,1.3223312280951365e-17
