,Corrente,Seca,Imediata,Geral
mean,1.6885136471823072,1.3436525538817232,0.9180001105955915,0.8622715589354512
std,0.15353371184374684,0.14871487685814638,0.09406088096819305,0.03819604977086971
min,1.442505181314745,1.1058956282781425,0.7971874534430448,0.79475501158736
25%,1.6029968854040006,1.2729635830066963,0.8456435711854398,0.8469110366521491
50%,1.6682281081615762,1.3457453007901512,0.9248823429461851,0.855434235003417
75%,1.7740141632607398,1.4208631981999265,0.98414141172356,0.8845094508169281
max,1.9259003301424473,1.5575754796765517,1.0433118242834725,0.9137344398153275
