,Corrente,Seca,Imediata,Geral
mean,1.2098309825762001,1.1625724041330971,0.6167969545375622,0.7391010226867902
std,0.021744846924609335,0.023272767547694705,0.025528906524523942,0.004368397535576972
min,1.161015407778831,1.105907269804982,0.5532151813283228,0.726455693063861
25%,1.194642723040346,1.1465906613838097,0.5989437330893805,0.7358498974004858
50%,1.2094110512853395,1.163252360687793,0.6122281630035498,0.7389694790917192
75%,1.2260929682941488,1.1742803120287053,0.6338088427303927,0.7423765050627431
max,1.2690586796664345,1.2258329419104108,0.6780200345986103,0.7479146497123118
