,Corrente,Seca,Imediata,Geral
mean,2.146912336140493,2.026831056740088,1.3442985505766227,1.555389866159702
std,0.1621700310367693,0.1497017426909232,0.1870493772233842,0.05612405849416484
min,1.6037508359730228,1.6406856393822136,0.8759193850209348,1.3283935597537184
25%,2.1043523151346726,1.9968736152635103,1.2730101773438083,1.5160214827884853
50%,2.162347621679557,2.0367096196283967,1.3621085185650461,1.5582437486057295
75%,2.173573563137259,2.073301789728268,1.4487176487211428,1.5890778323665757
max,3.112686718221685,3.035703523599148,1.8818955361689156,1.6702462053177527
