,ROA,ROE
mean,0.04301226430176214,0.06348149676503832
std,0.01697473538514074,0.02691626498533967
min,0.018524810270788714,0.02655542810625186
25%,0.03026766251306661,0.04443527034740481
50%,0.04589025650706956,0.06664683566228372
75%,0.05268444899566335,0.08391959014642073
max,0.0648077667820011,0.0959217671370891
