DT_REFER,Corrente,Seca,Imediata,Geral
2017Q1,2.7024894851465247,2.598985754731723,1.627370684722667,1.1535857254454704
2017Q2,1.4579695773162566,1.3443494343058668,0.41703569397692597,1.1833526665007275
2017Q3,1.512487772438613,1.394483309930081,0.5248326427640062,1.198155970920905
2017Q4,1.533751051322411,1.4149376953703239,0.6015461102304245,1.2098464358512182
2018Q1,1.519824119877245,1.3915827286598563,0.5464377005442431,1.2217950995714575
2018Q2,1.647199313419542,1.528307566318639,0.612374358252699,1.2866618239621457
2018Q3,1.457750765813056,1.3417762286730357,0.5696765795850984,1.2401322843618368
2018Q4,1.4237119976010448,1.3108463828359285,0.6226279757405607,1.2202465125371282
2019Q1,1.4165425936111253,1.3335631078378734,0.5678584120617709,1.096469291703279
2019Q2,2.4588836077842235,2.3745956705147417,1.577378362810158,1.815153985240458
2019Q3,3.3721978715182446,3.291469736107551,2.6410009729634223,2.2937747314135803
2019Q4,3.344284046917098,3.27730009621539,2.684252456042228,2.3489277052074344
2020Q1,3.112686718221685,3.035703523599148,2.354601809484776,2.2414194230951385
2020Q2,2.1704328967270636,2.088016936843567,1.4882460345892305,1.6396033680640056
2020Q3,2.1542623466320503,2.058586642612969,1.315027774277037,1.6702462053177527
2020Q4,2.038271733542281,1.9460990994063372,1.2309925804105792,1.5779352005423135
2021Q1,1.7587463638237135,1.6406856393822136,0.8759193850209348,1.4358385041206936
2021Q2,1.448755308122332,1.3160600923849697,0.6182606916548553,1.0788519189651233
2021Q3,2.4768372315853684,2.320379247771406,1.6612802218974663,1.5385522966691456
2021Q4,2.176714229547454,2.0148325966438247,1.4091892628530553,1.493490668907825
