,Corrente,Seca,Imediata,Geral
mean,1.9619777941617784,1.4190873801773884,0.7040050487542922,1.4800176715995996
std,0.026689677830146245,0.03144440485941526,0.02291629556979061,0.043662746633480874
min,1.9000438355869085,1.3616945434291117,0.6556756593325812,1.3868556600163693
25%,1.9345293887633153,1.3987108695178643,0.691382489344091,1.4420571773150133
50%,1.9656905180174924,1.418579348982281,0.695643243655534,1.470364353257851
75%,1.9837704055118672,1.4396685020331592,0.7139027867031523,1.4986715292006887
max,2.024722077360695,1.6178124625632335,0.7824029657603125,1.6124334736925372
