,RCT/CP,RCT/PT
mean,1.797040035449273,0.6184827862907872
std,0.09182057315281551,0.009936144901822102
min,1.586856665473349,0.5942491908189033
25%,1.7324883499666843,0.6121968738805147
50%,1.7878419562297978,0.6178551149406624
75%,1.861001419691423,0.6250781262740972
max,2.0365132263107215,0.6438169350280508
