,RCT/CP,RCT/PT
mean,1.6763040968852536,0.8227052667372515
std,0.49363521138387373,0.035389195214034774
min,0.9888673057058871,0.78104144495025
25%,1.4236489895578,0.7949240471876552
50%,1.646562940414463,0.8194941535903226
75%,1.9123150009790497,0.8430621178105251
max,2.4506372902642792,0.884643476091026
