,Corrente,Seca,Imediata,Geral
mean,1.9042796302564924,1.611361150387846,1.0503663509463215,1.0996010148857474
std,0.08600571177792009,0.06875202294065604,0.062126328034638106,0.019891133809710672
min,1.7090647727095258,1.4288284509944895,0.8975711015224176,1.0502180649361397
25%,1.844403009871733,1.5715588648062777,1.015428696542032,1.0856639286327563
50%,1.9159339884007054,1.6127574392225874,1.0494285009015103,1.1006101838355735
75%,1.9680727509441944,1.661405058755647,1.0873150922790331,1.111967787319415
max,2.0966459685260617,1.7550704602615355,1.2013074662532817,1.1459404979845291
