,Corrente,Seca,Imediata,Geral
mean,1.4615832682989147,1.0345162236413974,0.5162455228134967,0.9482871040800489
std,0.030611746230264778,0.03866945445464652,0.051840587405810164,0.02469202140692414
min,1.4169617027271186,0.9613301264075816,0.43329555221026395,0.9109866720090913
25%,1.4453027109806253,1.0173128571094523,0.48882904133708316,0.9337149252550663
50%,1.4528380157223104,1.044449175830221,0.5107045902252632,0.9416121248413739
75%,1.485969958055205,1.0489842471888098,0.5487087697506976,0.9702752932731671
max,1.5079219251776568,1.0949168079310119,0.5872840098406188,0.9846500358496139
