,Corrente,Seca,Imediata,Geral
mean,1.4741694093371895,1.06129712249703,0.44839142025151163,0.9513770924373688
std,0.021615597802592156,0.02257194278504263,0.011563197500642969,0.015755461209179537
min,1.424567563846097,1.012296119598096,0.4141705505170503,0.9187032331291932
25%,1.4631451803283453,1.0447318843925135,0.4415205315177231,0.9384304471980784
50%,1.4735327828336051,1.0606071888778894,0.4494021592236303,0.950841857102861
75%,1.4874815016571472,1.0761330986519804,0.45581961681826844,0.9640080259114635
max,1.527206126128025,1.114187820543061,0.4740833848838658,0.9858989683780867
