,RCT/CP,RCT/PT
mean,0.7210788317315546,0.41775808369438133
std,0.04906672134427436,0.01471786438763905
min,0.6285291109175924,0.38479564810869255
25%,0.6874900313196866,0.40969323306089667
50%,0.7170719055665149,0.4186318779165916
75%,0.7608004441027942,0.42655211237072554
max,0.8126328919337393,0.45155040155764425
