DT_REFER,RCT/CP,RCT/PT
2017Q1,1.6493325544842892,0.5873871391767366
2017Q2,1.855713057608789,0.5840294088232163
2017Q3,1.2640394998160924,0.5525058894424143
2017Q4,1.2954511962489834,0.5561625377732331
2018Q1,1.1576706822466676,0.5265342029028861
2018Q2,1.3042293940794099,0.5383963492716584
2018Q3,1.3749990248902835,0.5427061557316778
2018Q4,1.3627431070916416,0.5300831988322746
2019Q1,1.572124262294565,0.5732236611415822
2019Q2,1.567040608610371,0.5784681868118209
2019Q3,1.6533942200130485,0.5805896035485113
2019Q4,1.747274025300306,0.6037729150905932
2020Q1,4.931843394027954,0.6480570796868961
2020Q2,4.954093545674187,0.6497496984413759
2020Q3,8.120213341501652,0.634233998462212
2020Q4,2.2315659216320336,0.6578664962874744
2021Q1,3.298970331103091,0.6391290643215097
2021Q2,1.4944178630418237,0.5992691715060867
2021Q3,1.950911257942994,0.6421704582460379
2021Q4,1.9217396204956025,0.6429148429510623
