,Corrente,Seca,Imediata,Geral
mean,1.4608395867769186,1.0329935744367424,0.517424042995092,0.9484828200365059
std,0.009870526575189444,0.013613846829335726,0.015879080515274827,0.008284242631041928
min,1.4381268671129743,0.9991997956895883,0.4817259760871356,0.9299380231331154
25%,1.4527262674659667,1.0230686797644273,0.5074672693480827,0.9426014068959758
50%,1.4594065847203628,1.0329373532925756,0.5182564426914302,0.9493028673678284
75%,1.4675690955392264,1.0444508592257198,0.5291807815114642,0.9533718384682712
max,1.4862922593834194,1.0653133355444702,0.5644976749798567,0.9705834469002411
