,RCT/CP,RCT/PT
mean,1.4693030995215193,0.47902399768861753
std,0.20843432800743694,0.02466314450343338
min,1.156465667703252,0.43428268045424756
25%,1.3069977525607006,0.4615049492932673
50%,1.448674905213077,0.47918170478134003
75%,1.5706514458876903,0.49712023551571866
max,2.0841576262249406,0.5415167137279986
