,RCT/CP,RCT/PT
mean,1.3564518041253952,0.4638167835117081
std,0.11310198295100825,0.020923819383366758
min,1.0916901771711278,0.4184118429448636
25%,1.2696261328723801,0.44994962199703065
50%,1.3652705283845459,0.4611932666941531
75%,1.4510728861207198,0.481587133850117
max,1.5596334885835934,0.4986224380139146
