DT_REFER,ROA,ROE
2017Q1,,
2017Q2,-0.001859442107332378,0.29175935505083017
2017Q3,0.0023347074845021837,0.126624580169847
2017Q4,0.009757315434245118,0.15767547521311057
2018Q1,0.008346778906955149,0.03101137939143941
2018Q2,0.012504818816970112,-0.02476525453098821
2018Q3,0.024273350291077467,-0.015854426123742334
2018Q4,0.02807179348540005,-0.0419534109744869
2019Q1,0.0077999905704821335,0.5314774923472811
2019Q2,0.014882518970689132,-0.028447790092169804
2019Q3,0.025165375626155072,-0.2441129064384836
2019Q4,0.031108518624950877,0.2073417029945449
2020Q1,-0.0005242144223158124,0.03242621753350783
2020Q2,0.0005461346520986407,0.40271670467272264
2020Q3,0.00835892256862196,0.10008132467414066
2020Q4,0.01978516049695159,-0.3356876957282391
2021Q1,0.014167614025300946,0.06005914464500433
2021Q2,0.03075034784864544,0.10793066202242266
2021Q3,0.044621423966845555,0.07575570589419278
2021Q4,0.049342631674655475,0.07121635466438041
