DT_REFER,RCT/CP,RCT/PT
2017Q1,1.4175837981847987,0.4700398582391949
2017Q2,1.404491390494929,0.4688854864744694
2017Q3,1.400700210397228,0.47194020378263
2017Q4,1.4579399004567102,0.47638890224183883
2018Q1,1.3990770653745097,0.46736412750439366
2018Q2,1.5116454634536507,0.48005022954397397
2018Q3,1.5837084179912295,0.4870547912981281
2018Q4,1.6832277039967793,0.49264453260103575
2019Q1,1.7295321105428216,0.4940088511564508
2019Q2,1.684500419784121,0.48941776166745526
2019Q3,1.5860189223072503,0.48803330435923253
2019Q4,1.6139567294548904,0.49257519644010733
2020Q1,1.6087019561873812,0.48919528363873765
2020Q2,1.6099128754666336,0.494340361689386
2020Q3,1.6477443353883652,0.4970658212055101
2020Q4,1.6231224041030023,0.49579232909551896
2021Q1,1.5608752652214053,0.49039244354461253
2021Q2,1.6116657721074115,0.4938434218677128
2021Q3,1.7699355279802966,0.5067024178440078
2021Q4,1.7684426473968102,0.505231285574853
