,Corrente,Seca,Imediata,Geral
mean,1.2121413519934445,1.1633147394107923,0.6197530477682527,0.7396583571396178
std,0.07060350759263893,0.06618705292369269,0.07701063453425395,0.012363371914480177
min,1.1299707486633688,1.0930209801958704,0.5108738290525063,0.7143306663847725
25%,1.168017724682161,1.123346651099679,0.5704607937666064,0.7363359083687548
50%,1.1836972505466643,1.133782138549011,0.6061953812818044,0.7429286000445412
75%,1.2500977844725796,1.1989481049565067,0.6788872763234999,0.7478930055508055
max,1.3231675433394565,1.2647898890335276,0.7449368415123396,0.7516954852084073
