Liquidez,Teste,Estatística,Valor p
Corrente,Teste t,5.609579821558119,6.764446769742739e-08
Corrente,Teste H,46.266150041815386,1.0323211481857196e-11
Seca,Teste t,10.737465453182093,1.726602761879474e-21
Seca,Teste H,72.69594662983201,1.512444090440284e-17
Imediata,Teste t,-35.143384378183676,4.839012559302822e-87
Imediata,Teste H,144.65704808570285,2.5523448338771058e-33
Geral,Teste t,1.6259361169497168,0.10555378434703232
Geral,Teste H,3.802222289065216,0.05118460701909179
