DT_REFER,ROA,ROE
2017Q1,,
2017Q2,0.048290726500197736,0.3817936996719531
2017Q3,0.054216368378516705,0.14675623600834817
2017Q4,0.05195622065197115,0.24000985822050527
2018Q1,0.008573004294929194,-0.035143587267446846
2018Q2,0.025839623051723208,0.0728741528182953
2018Q3,0.04005697370320559,0.07275965127326846
2018Q4,0.03556251390219372,0.08892389881385646
2019Q1,0.013710228832637046,0.002094213658701949
2019Q2,0.02500795250586198,0.019792541670724577
2019Q3,0.047044185863394795,0.06045771401131192
2019Q4,0.05906160430868767,0.06959999385778899
2020Q1,0.015893554390585655,0.012920386229744337
2020Q2,0.025995270072565455,0.03066337545726621
2020Q3,0.03899275199934122,0.06212313787323116
2020Q4,0.06750230465381386,0.11219254486554234
2021Q1,0.018462377851602672,0.032194857806321434
2021Q2,0.03191694863878683,0.06276044163868451
2021Q3,0.03576755850457314,0.07894551348211347
2021Q4,0.047348134611940505,0.10257906366743749
