,ROA,ROE
mean,0.09715384576501096,0.09318332712304396
std,0.050996543638298905,0.19902738465390823
min,-0.0002102162587044429,-0.35206240936594435
25%,0.0615421422988139,-0.05047741549370295
50%,0.09441421354198562,0.15167706629130534
75%,0.1305150163476566,0.21678932556022623
max,0.2040491852623443,0.5399547767910736
