,RCT/CP,RCT/PT
mean,1.7438113761119078,0.6735097483224814
std,1.180432092001874,0.0039059594389259057
min,-1.7062878453372283,0.667446836126296
25%,1.1996864808508019,0.670228163352145
50%,2.2275928231094078,0.6726146938644051
75%,2.7389305075800685,0.6765983494446877
max,3.092656717859982,0.6821677064094847
