,RCT/CP,RCT/PT
mean,1.8411621758287209,0.4889562803479881
std,0.45371407581809076,0.022099069339264876
min,1.1005865073149728,0.4398902194798946
25%,1.4477383266874702,0.47322737559964023
50%,1.7861254104236925,0.4882833197017651
75%,2.245791542465076,0.5017669496978511
max,2.8527866266739665,0.5379548455745489
