,RCT/CP,RCT/PT
mean,3.6129694094274174,0.6391738512378319
std,2.2668769444565444,0.01764708619845057
min,1.4944178630418237,0.5992691715060867
25%,1.943618348581146,0.6379052978566853
50%,2.7652681263675625,0.6425426505985501
75%,4.937405931939512,0.648480234375516
max,8.120213341501652,0.6578664962874744
