,Corrente,Seca,Imediata,Geral
mean,2.3894069761977845,2.121504065530548,1.2610738421817473,1.116506915498974
std,0.18525777806785473,0.1787923032442439,0.16701933106276598,0.04733546234566361
min,1.941524268171386,1.7237034047074258,0.8468488673546606,1.0142528038796512
25%,2.250249623916961,2.0005066155500875,1.1525805780431657,1.082462645043478
50%,2.380946988623186,2.1121369582841187,1.2713419066413671,1.11148052853875
75%,2.5205805332852638,2.2558938848929952,1.3789936972984185,1.1505000046402079
max,2.795927038674714,2.5632771038272995,1.6581334818466205,1.2296679993697404
