,ROA,ROE
mean,0.006791692189859529,0.05138150480576236
std,0.00381526990364773,0.05845546217009003
min,0.0006664020869851814,-0.036589461108856663
25%,0.004305560095940632,0.002687918104863919
50%,0.0062255557610324105,0.04855251729826266
75%,0.00967466553699953,0.08462896315908885
max,0.015719753341575125,0.19680188987894842
