Liquidez,Teste,Estatística,Valor p
Corrente,Teste t,-41.59268365201768,8.349976079020711e-100
Corrente,Teste H,149.63744876421273,2.0806806234154793e-34
Seca,Teste t,-42.898538708088275,3.3701680229775095e-102
Seca,Teste H,149.4586964241034,2.2765499952254303e-34
Imediata,Teste t,-64.73675984133479,3.468410836011256e-135
Imediata,Teste H,149.58525795940147,2.1360591855427066e-34
Geral,Teste t,-70.23552670971824,6.624101904814275e-142
Geral,Teste H,149.35203425847442,2.4021028699755728e-34
