,Corrente,Seca,Imediata,Geral
mean,1.9930252790454395,1.447239757134539,0.7432560971919373,1.4773745358583639
std,0.04635785308532122,0.041765237105489114,0.044139116116091386,0.025879102643447564
min,1.9115414240438808,1.3792841217009273,0.6744098483675819,1.4027713574863172
25%,1.9528497752709977,1.4116717854221839,0.7096048712945825,1.4574764986862359
50%,1.9955794367145554,1.4461194772995707,0.7372565813706679,1.476105577403338
75%,2.021288146602298,1.4728233015157666,0.7718175313930213,1.4979587054987147
max,2.1205864248150568,1.5568572999573234,0.8894472683000336,1.5398993710333126
