DT_REFER,LPA
2017Q1,-608.4278393056811
2017Q2,-2052.556104737378
2017Q3,-2775.9886439022657
2017Q4,-3650.141611889608
2018Q1,-404.4141747662461
2018Q2,49.50364776358529
2018Q3,-853.7410011740526
2018Q4,-718.0027239199107
2019Q1,-20.88258260509298
2019Q2,-70.94259339750374
2019Q3,-39.89466314046588
2019Q4,-6573.582703559095
2020Q1,-317.17165327671944
2020Q2,-689.8971350496048
2020Q3,-761.5455107174824
2020Q4,-724.5410295105055
2021Q1,4.460254057226507
2021Q2,137.14463827944903
2021Q3,447.8240658746072
2021Q4,179.75493677719015
