DT_REFER,ROA,ROE
2017Q1,,
2017Q2,0.013463319941844897,0.020133705225877974
2017Q3,0.025777251683099276,0.03562861613838475
2017Q4,0.04446216579005732,0.06862717656916373
2018Q1,0.010791805157727595,0.013435723930814982
2018Q2,0.021606686379717743,0.031517691905465196
2018Q3,0.03657327544736786,0.10070492786180481
2018Q4,0.05993873668733398,0.12939052086057196
2019Q1,0.0054116500592300415,0.006044928644848255
2019Q2,0.08323467485990656,0.10234992334389059
2019Q3,0.09109541354665425,0.12373711943570183
2019Q4,0.11446139724642901,0.16391763531713782
2020Q1,0.006526019046601886,0.007189853998752934
2020Q2,0.015641115840933282,0.018581624660293738
2020Q4,0.04927596080655994,0.08010732188673428
2021Q1,0.008873888213272937,0.011871835592255233
2021Q2,0.023401633739415135,0.040183935498988625
2021Q3,0.0350299275589644,0.08021585650665382
