Endividamento,Teste,Estatística,Valor p
RCT/CP,Teste t,-52.96632302873117,1.8742245288425934e-74
RCT/CP,Teste H,149.25395522981358,2.523655033546687e-34
RCT/PT,Teste t,-60.25551979813967,7.846480938068704e-80
RCT/PT,Teste H,149.25395522981358,2.523655033546687e-34
