DT_REFER,ROA,ROE
2017Q1,,
2017Q2,0.0053850514389136486,0.002495201945549054
2017Q3,0.012863440897817048,0.02208713320995367
2017Q4,0.01410901178905118,-0.015436667882318745
2018Q1,0.008661212854130122,-0.7484391753386519
2018Q2,-0.006241506961227664,0.004530365927562821
2018Q3,-0.006329842528668952,-0.012582801399681662
2018Q4,-0.002808128419861171,0.05957010218864595
2019Q1,0.008551816782934454,0.01059575773506717
2019Q2,0.018794813770330297,0.060389739372354506
2019Q3,0.02621053145205716,0.09205673310535625
2019Q4,0.04487923889738043,0.16518100826040602
2020Q1,-0.010040316282266336,-0.005994039307883823
2020Q2,0.017010949005983204,0.18276027285259175
2020Q3,0.03435231896101957,0.19966173989609434
2020Q4,0.05885405134591513,0.306832191882331
2021Q1,0.019922967370136286,0.06350159222260988
2021Q2,0.041859409070992934,0.14812742433249185
2021Q3,0.06651809658598137,0.24200461762723827
2021Q4,0.0898525470626243,0.3573070124067701
