DT_REFER,LPA
2017Q1,306.5938565563382
2017Q2,927.3918536674483
2017Q3,2276.434908789035
2017Q4,2101.7009477609927
2018Q1,198.99596138110556
2018Q2,1345.892727066131
2018Q3,2743.0856577799505
2018Q4,5474.4308970163665
2019Q1,108.08803813422972
2019Q2,300.1582935852184
2019Q3,1177.0698342758462
2019Q4,2667.547172745503
2020Q1,-1864.8356998853908
2020Q2,-914.2817653067686
2020Q3,-784.1652391303612
2020Q4,1426.8536468156485
2021Q1,-200.55602647418024
2021Q2,-335.1887992984032
2021Q3,1172.6296415932188
2021Q4,1712.4572090131019
