,Corrente,Seca,Imediata,Geral
mean,1.5719880408115205,1.1605006786456389,0.6843193710875451,0.8115656050069224
std,0.09313052979046647,0.08449548595818063,0.06675687925031058,0.017951183984479008
min,1.2888112430443956,0.9254254061625764,0.49944840393361445,0.7589323495974919
25%,1.5062364231831908,1.1007034174618433,0.6391505478626174,0.7986237327943684
50%,1.5712862532927039,1.1602222691485342,0.6823225538477735,0.8107466762064044
75%,1.6376107436216165,1.2218920827446578,0.7291074080540082,0.8240237003909512
max,1.862731807588394,1.3839200358411263,0.8926896649275281,0.878005593904214
