,ROA,ROE
mean,0.03341752133171645,0.08627174986315689
std,0.016842888549075057,0.05045190716421873
min,0.013440993055352327,0.0298926487900453
25%,0.022496817946709317,0.05057226400375934
50%,0.031544140592085185,0.07523067980958648
75%,0.041266117177630804,0.12016891868852624
max,0.06109220530529444,0.15920036454664235
