,Corrente,Seca,Imediata,Geral
mean,1.5598514477790602,1.1660093195847994,0.6972469432054179,0.8105979660627398
std,0.09683649100678639,0.09353850733730658,0.061924638263641626,0.01692477609386274
min,1.3493118501988706,0.9508371786337397,0.5178790273956935,0.7783450747880235
25%,1.4972426104214434,1.1079355312952381,0.6579790262210474,0.7981271828228789
50%,1.561331151823077,1.1660917524304315,0.6970192753457682,0.8096682889666319
75%,1.6214304913430402,1.2247837699155686,0.7359517797127962,0.8227059737758282
max,1.7707933005970864,1.3975997380004983,0.8897948456898153,0.8547569279090199
