Liquidez,Teste,Estatística,Valor p
Corrente,Teste t,-42.26968370677307,4.7112388382708796e-101
Corrente,Teste H,149.81758391666827,1.900341720247127e-34
Seca,Teste t,-50.374246043707664,7.437159101254012e-115
Seca,Teste H,149.756025610538,1.960139620892079e-34
Imediata,Teste t,-35.47897450541776,9.526902855866399e-88
Imediata,Teste H,147.99037140864445,4.766898191157202e-34
Geral,Teste t,-34.34116313203259,2.4657057151369692e-85
Geral,Teste H,145.68914387444136,1.5180964721956673e-33
