,Corrente,Seca,Imediata,Geral
mean,2.183872851422212,2.1009753178735204,1.3498896687353898,1.6436211820795665
std,0.29483242907205115,0.2991683138598942,0.33310226268493187,0.1836726888823225
min,1.4295331631578279,1.3317501573170256,0.5780280981906947,1.2027691375922613
25%,1.9562685274318727,1.874357100132887,1.0971225173962145,1.5043722341210406
50%,2.17141104011321,2.087117199929109,1.327679614019949,1.6354015260266126
75%,2.392938588351826,2.30318666050816,1.5784988000865317,1.7647743256447754
max,3.10668801721812,2.9781790588349772,2.5350803236185175,2.254979211499062
