,ROA,ROE
mean,0.03910444674072876,0.1845924274381421
std,0.016127782638835405,0.054281886071561467
min,0.004213320952896705,0.03253632660221009
25%,0.026995763054648535,0.16354408157400235
50%,0.03964731237410234,0.1839570240044861
75%,0.04847093234915825,0.2206805115570558
max,0.07164214754846403,0.30527698914799134
