DT_REFER,LPA
2017Q1,320.8564039193439
2017Q2,617.6706020795343
2017Q3,1034.0231935051079
2017Q4,1438.595661728693
2018Q1,317.0477579805564
2018Q2,714.7309221350963
2018Q3,1038.3046788134207
2018Q4,1545.6623165495068
2019Q1,317.7121946328759
2019Q2,733.7692982098725
2019Q3,977.3711408234511
2019Q4,1427.035327510068
2020Q1,256.8618279955126
2020Q2,691.909518536602
2020Q3,1065.1834899382948
2020Q4,1415.175030532494
2021Q1,338.29156366529224
2021Q2,632.2863062469553
2021Q3,743.8218573986309
2021Q4,989.8115633326256
