DT_REFER,RCT/CP,RCT/PT
2017Q1,1.2539681569603525,0.4934152908077815
2017Q2,1.4874871760742303,0.4985771119753088
2017Q3,1.3920936084109388,0.4755142102057962
2017Q4,1.4732693449069145,0.4946581351879214
2018Q1,1.4188280191413356,0.4715567350300065
2018Q2,1.4458404164378764,0.48771506316935626
2018Q3,1.454277112886891,0.47912275942883786
2018Q4,1.5518601336361726,0.5095298128584729
2019Q1,1.1141675915086136,0.4094098451952437
2019Q2,1.0844787086285455,0.42508983355587904
2019Q3,1.0539468170387394,0.4195738465141658
2019Q4,1.6734265607293102,0.5169290118892107
2020Q1,1.1863239675318953,0.4309299489462487
2020Q2,1.28568840870007,0.4402443201078264
2020Q3,1.126607367874609,0.4305502350262917
2020Q4,1.6670593054998104,0.5389615775815161
2021Q1,1.2585610453239104,0.4451003028181581
2021Q2,1.3211513144927858,0.4688379251832956
2021Q3,1.4493920031063505,0.47808776842288
2021Q4,2.295746167264471,0.574508754453799
