Liquidez,Teste,Estatística,Valor p
Corrente,Teste t,-2.1152536721622694,0.051552534070537906
Corrente,Teste H,3.1728698023176545,0.07487078268493268
Seca,Teste t,-2.126286215678654,0.05049020831538352
Seca,Teste H,3.1728698023176545,0.07487078268493268
Imediata,Teste t,-2.154327901653218,0.047880361922864954
Imediata,Teste H,2.8391274710293155,0.09199415528029552
Geral,Teste t,0.461926310085235,0.6507627549915274
Geral,Teste H,0.057941376959778176,0.8097797706434783
