DT_REFER,LPA
2017Q1,143.5049186916405
2017Q2,225.27369765996127
2017Q3,414.5616472057856
2017Q4,686.6255661965995
2018Q1,219.8745844092797
2018Q2,457.82110997548875
2018Q3,700.496333646172
2018Q4,1150.8503646584059
2019Q1,312.5677989776153
2019Q2,441.66827153308736
2019Q3,1228.4696774941183
2019Q4,1511.4229811179205
2020Q1,292.323817318577
2020Q2,492.4368411242001
2020Q3,679.4207774644358
2020Q4,1284.2028648284338
2021Q1,180.44866811677727
2021Q2,304.5029399518111
2021Q3,577.9397513893591
2021Q4,792.6297833195642
