,ROA,ROE
mean,0.03503625867035189,0.05898361329754108
std,0.00821604413033154,0.017110261640525495
min,0.017177966121094165,0.026993369324913353
25%,0.0296001215378401,0.046855790223194166
50%,0.033052651969098665,0.057161206965377645
75%,0.040088890576852866,0.07426521885495238
max,0.05147857748643894,0.09136343527160731
