DT_REFER,LPA
2017Q1,-300.77561571449115
2017Q2,27675803178.57304
2017Q3,-2018.4916484123917
2017Q4,-502.42697329472196
2018Q1,-414.83367736637274
2018Q2,-688.0693359708852
2018Q3,-932.8469447224371
2018Q4,1470.3412319635856
2019Q1,-1414.2327702967063
2019Q2,-2753.5074901403286
2019Q3,-3998.299511172563
2019Q4,-5687.818761098825
2020Q1,-1372.6688236701143
2020Q2,-2605.6180611709283
2020Q3,-3276.4888895942277
2020Q4,-2712.804025330475
2021Q1,-1238.49055062927
2021Q2,-1503.4956462441855
2021Q3,-321.1142785233755
2021Q4,-3023636211.335453
