DT_REFER,LPA
2017Q1,330.31489517474915
2017Q2,476.75166578536766
2017Q3,711.8205746554314
2017Q4,1085.8736927397028
2018Q1,364.2885577630296
2018Q2,688.8603147436268
2018Q3,987.6363887239226
2018Q4,1371.7427170023248
2019Q1,337.7563355445841
2019Q2,669.4540032347497
2019Q3,1049.3612319674749
2019Q4,1149.57118348026
2020Q1,19.1414183334811
2020Q2,-42.92574608209367
2020Q3,199.15977835829747
2020Q4,295.3299134182356
2021Q1,114.85335086181816
2021Q2,320.0544517961523
2021Q3,421.7434196130619
2021Q4,322.48333916886196
