,ROA,ROE
mean,0.02147164992929009,0.049409170319906597
std,0.00936050473443613,0.08070935635289543
min,0.003951504495399217,-0.2339616831300842
25%,0.014371447719928673,-0.0049362617523132785
50%,0.02062288814056279,0.06085818640832946
75%,0.028328405375130334,0.08337852300888175
max,0.03791640247119461,0.23696652966855153
