,Corrente,Seca,Imediata,Geral
mean,1.6255412343540032,1.34707690173025,0.6664530181712842,0.9653622569261832
std,0.24323719547491704,0.23325583077044876,0.17787812121672994,0.08098000725409217
min,1.289779352540126,1.0372918743296122,0.49392674783640883,0.8318559643985711
25%,1.4348451732636684,1.1421305161915372,0.49723903908541883,0.9050176861883186
50%,1.6493151746483052,1.3712251728698646,0.6582870900073623,0.9959785529936125
75%,1.7583001936093665,1.48576666566489,0.7455366411245788,1.0228162954917586
max,1.9866697362364407,1.6819057880541086,0.9906146750185688,1.0550669682859777
