Endividamento,Teste,Estatística,Valor p
RCT/CP,Teste t,-8.040912112140816,1.6544165820215225e-10
RCT/CP,Teste H,38.070113956181764,6.824751753026683e-10
RCT/PT,Teste t,-8.794389273451616,1.1964495909221525e-11
RCT/PT,Teste H,47.6232787239405,5.1651491712223505e-12
