,Corrente,Seca,Imediata,Geral
mean,2.1670883535252434,2.0525454723305545,1.369189720023492,1.5844921982102496
std,0.4913114012434184,0.5020560204577843,0.5211758973171597,0.32296597110477865
min,1.448755308122332,1.3160600923849697,0.6182606916548553,1.0788519189651233
25%,1.9683903911126392,1.8697457344003063,1.142224281563168,1.479077627711042
50%,2.162347621679557,2.0367096196283967,1.3621085185650461,1.5582437486057295
75%,2.2517449800569325,2.146107514575527,1.5315045814162895,1.6472640773774425
max,3.112686718221685,3.035703523599148,2.354601809484776,2.2414194230951385
